By Command
°C→°F	[degree]C[->][degree]F	C>F
°F→°C	[degree]F[->][degree]C	F>C
°→G	[degree][->]G	DEG>GRAD
°→rad	[degree][->]rad	DEG>RAD
10ᵡ	10[^x]	10^x
©10ᵡ	[cmplx]10[^x]	c10^x
1/x	1/x	INV
©1/x	[cmplx]1/x	cINV
2ᵡ	2[^x]	2^x
©2ᵡ	[cmplx]2[^x]	c2^x
³√	[^3][sqrt]	CROOT
©³√	[cmplx][^3][sqrt]	cCROOT
©ABS	[cmplx]ABS	cABS
©ACOS	[cmplx]ACOS	cACOS
©ACOSH	[cmplx]ACOSH	cACOSH
acres→ha	acres[->]ha	acres>ha
©AGM	[cmplx]AGM	cAGM
ar.→dB	ar.[->]dB	ar.>dB
©ASIN	[cmplx]ASIN	cASIN
©ASINH	[cmplx]ASINH	cASINH
©ATAN	[cmplx]ATAN	cATAN
©ATANH	[cmplx]ATANH	cATANH
atm→Pa	atm[->]Pa	atm>Pa
AU→km	AU[->]km	AU>km
bar→Pa	bar[->]Pa	bar>Pa
Binomₚ	Binom[sub-p]	Binom-p
Binomᵤ	Binom[sub-u]	Binom-u
Binom⁸	Binom[^-1]	INV-Binom
Bₙ	B[sub-n]	Bn
Bₙ⁺	B[sub-n][super-star]	Bn*
Btu→J	Btu[->]J	Btu>J
cal→J	cal[->]J	cal>J
Cauchₚ	Cauch[sub-p]	Cauch-p
Cauchᵤ	Cauch[sub-u]	Cauch-u
Cauch⁸	Cauch[^-1]	INV-Cauch
cft→l	cft[->]l	cft>l
CLα	CL[alpha]	CLa
CLΣ	CL[SIGMA]	CLSUMS
cm→inches	cm[->]inches	cm>inches
©CNST	[cmplx]CNST	cCNST
©COMB	[cmplx]COMB	cCOMB
©CONJ	[cmplx]CONJ	cCONJ
©COS	[cmplx]COS	cCOS
©COSH	[cmplx]COSH	cCOSH
©CROSS	[cmplx]CROSS	cCROSS
cwt→kg	cwt[->]kg	cwt>kg
DATE→	DATE[->]	DATE>
DBL×	DBL[times]	DBL*
dB→ar.	dB[->]ar.	dB>ar.
dB→pr.	dB[->]pr.	dB>pr.
DEG→	DEG[->]	DEG>
©DOT	[cmplx]DOT	cDOT
©DROP	[cmplx]DROP	cDROP
D→J	D[->]J	D>J
©ENTER	[cmplx]ENTER	cENTER
ENTER↑	ENTER[^]	ENTER
eᵡ	e[^x]	EXP
©eᵡ	[cmplx]e[^x]	cEXP
Exponₚ	Expon[sub-p]	Expon-p
Exponᵤ	Expon[sub-u]	Expon-u
Expon⁸	Expon[^-1]	INV-Expon
eᵡ-1	e[^x]-1	EXP-1
©eᵡ-1	[cmplx]e[^x]-1	cEXP-1
fathom→m	fathom[->]m	fathom>m
feet→m	feet[->]m	feet>m
©FIB	[cmplx]FIB	cFIB
©FILL	[cmplx]FILL	cFILL
flozUK→ml	flozUK[->]ml	flozUK>ml
flozUS→ml	flozUS[->]ml	flozUS>ml
©FP	[cmplx]FP	cFP
Fₚ(x)	F[sub-p](x)	F-p(x)
Fᵤ(x)	F[sub-u](x)	F-u
F⁸(p)	F[^-1](p)	INV-F
galUK→l	galUK[->]l	galUK>l
galUS→l	galUS[->]l	galUS>l
g⒟	g[sub-d]	GUD
©g⒟	[cmplx]g[sub-d]	cGUD
g⒟⁸	g[sub-d][^-1]	INV-GUD
©g⒟⁸	[cmplx]g[sub-d][^-1]	cINV-GUD
Geomₚ	Geom[sub-p]	Geom-p
Geomᵤ	Geom[sub-u]	Geom-u
Geom⁸	Geom[^-1]	INV-Geom
GRAD→	GRAD[->]	GRAD>
GTOα	GTO[alpha]	GTOa
G→°	G[->][degree]	GRAD>DEG
g→oz	g[->]oz	g>oz
G→rad	G[->]rad	GRAD>RAD
g→tr.oz	g[->]tr.oz	g>tr.oz
ha→acres	ha[->]acres	ha>acres
Hₙ	H[sub-n]	Hn
Hₙₚ	H[sub-n][sub-p]	Hnp
HPₑ→W	HP[sub-e][->]W	HP[sub-e]>W
hpUK→W	hpUK[->]W	hpUK>W
hp→W	hp[->]W	hp>W
©i	[cmplx]i	ci
inches→cm	inches[->]cm	inches>cm
inHg→Pa	inHg[->]Pa	inHg>Pa
©IP	[cmplx]IP	cIP
Iβ	I[beta]	IBETA
IΓₚ	I[GAMMA][sub-p]	IGAMMAP
IΓₛ	I[GAMMA][sub-q]	IGAMMAQ
J→Btu	J[->]Btu	J>Btu
J→cal	J[->]cal	J>cal
J→D	J[->]D	J>D
J→kWh	J[->]kWh	J>kWh
kg→cwt	kg[->]cwt	kg>cwt
kg→lb	kg[->]lb	kg>lb
kg→stone	kg[->]stone	kg>stone
kg→s.cwt	kg[->]s.cwt	kg>s.cwt
km→AU	km[->]AU	km>AU
km→l.y.	km[->]l.y.	km>l.y.
km→miles	km[->]miles	km>miles
km→nmi	km[->]nmi	km>nmi
km→pc	km[->]pc	km>pc
kWh→J	kWh[->]J	kWh>J
lbf→N	lbf[->]N	lbf>N
lb→kg	lb[->]kg	lb>kg
LgNrmₚ	LgNrm[sub-p]	LgNorm-p
LgNrmᵤ	LgNrm[sub-u]	LgNrm-u
LgNrm⁸	LgNrm[^-1]	INV-LgNorm
Lₙ	L[sub-n]	Ln
